time,TP9,AF7,AF8,TP10,AUX
1.58336E+12,-97.16796875,NaN,54.6875,NaN,NaN
1.58336E+12,-263.671875,NaN,42.96875,NaN,NaN
1.58336E+12,144.53125,NaN,40.0390625,NaN,NaN
1.58336E+12,386.2304688,NaN,55.17578125,NaN,NaN
1.58336E+12,17.08984375,NaN,63.4765625,NaN,NaN
1.58336E+12,-307.1289063,NaN,49.31640625,NaN,NaN
1.58336E+12,-7.32421875,NaN,37.59765625,NaN,NaN
1.58336E+12,377.9296875,NaN,47.36328125,NaN,NaN
1.58336E+12,160.6445313,NaN,53.22265625,NaN,NaN
1.58336E+12,-267.0898438,NaN,44.921875,NaN,NaN
1.58336E+12,-126.4648438,NaN,37.109375,NaN,NaN
1.58336E+12,323.7304688,NaN,43.9453125,NaN,NaN
1.58336E+12,NaN,NaN,48.828125,NaN,NaN
1.58336E+12,NaN,NaN,35.15625,NaN,NaN
1.58336E+12,NaN,NaN,30.2734375,NaN,NaN
1.58336E+12,NaN,NaN,43.9453125,NaN,NaN
1.58336E+12,NaN,NaN,63.96484375,NaN,NaN
1.58336E+12,NaN,NaN,57.6171875,NaN,NaN
1.58336E+12,NaN,NaN,35.64453125,NaN,NaN
1.58336E+12,NaN,NaN,27.83203125,NaN,NaN
1.58336E+12,NaN,NaN,34.1796875,NaN,NaN
1.58336E+12,NaN,NaN,28.80859375,NaN,NaN
1.58336E+12,NaN,NaN,16.6015625,NaN,NaN
1.58336E+12,NaN,NaN,17.578125,NaN,NaN
1.58336E+12,NaN,NaN,53.7109375,NaN,NaN
1.58336E+12,NaN,NaN,38.57421875,NaN,NaN
1.58336E+12,NaN,NaN,32.71484375,NaN,NaN
1.58336E+12,NaN,NaN,54.6875,NaN,NaN
1.58336E+12,NaN,NaN,60.546875,NaN,NaN
1.58336E+12,NaN,NaN,34.66796875,NaN,NaN
1.58336E+12,NaN,NaN,28.3203125,NaN,NaN
1.58336E+12,NaN,NaN,38.57421875,NaN,NaN
1.58336E+12,NaN,NaN,38.0859375,NaN,NaN
1.58336E+12,NaN,NaN,31.73828125,NaN,NaN
1.58336E+12,NaN,NaN,31.25,NaN,NaN
1.58336E+12,NaN,NaN,41.015625,NaN,NaN
1.58336E+12,NaN,NaN,NaN,124.5117188,NaN
1.58336E+12,NaN,NaN,NaN,-320.8007813,NaN
1.58336E+12,NaN,NaN,NaN,-196.2890625,NaN
1.58336E+12,NaN,NaN,NaN,270.0195313,NaN
1.58336E+12,NaN,NaN,NaN,245.6054688,NaN
1.58336E+12,NaN,NaN,NaN,-229.4921875,NaN
1.58336E+12,NaN,NaN,NaN,-288.0859375,NaN
1.58336E+12,NaN,NaN,NaN,174.8046875,NaN
1.58336E+12,NaN,NaN,NaN,323.7304688,NaN
1.58336E+12,NaN,NaN,NaN,-105.9570313,NaN
1.58336E+12,NaN,NaN,NaN,-337.4023438,NaN
1.58336E+12,NaN,NaN,NaN,55.6640625,NaN
1.58336E+12,173.3398438,NaN,NaN,NaN,NaN
1.58336E+12,360.8398438,NaN,NaN,NaN,NaN
1.58336E+12,-43.45703125,NaN,NaN,NaN,NaN
1.58336E+12,-304.6875,NaN,NaN,NaN,NaN
1.58336E+12,46.38671875,NaN,NaN,NaN,NaN
1.58336E+12,373.046875,NaN,NaN,NaN,NaN
1.58336E+12,91.30859375,NaN,NaN,NaN,NaN
1.58336E+12,-303.2226563,NaN,NaN,NaN,NaN
1.58336E+12,-89.84375,NaN,NaN,NaN,NaN
1.58336E+12,339.84375,NaN,NaN,NaN,NaN
1.58336E+12,220.2148438,NaN,NaN,NaN,NaN
1.58336E+12,-233.8867188,NaN,NaN,NaN,NaN
1.58336E+12,-201.6601563,NaN,20.99609375,NaN,NaN
1.58336E+12,253.4179688,NaN,43.9453125,NaN,NaN
1.58336E+12,310.0585938,NaN,61.5234375,NaN,NaN
1.58336E+12,-142.0898438,NaN,52.734375,NaN,NaN
1.58336E+12,-278.8085938,NaN,41.015625,NaN,NaN
1.58336E+12,142.0898438,NaN,45.8984375,NaN,NaN
1.58336E+12,363.7695313,NaN,54.6875,NaN,NaN
1.58336E+12,-19.04296875,NaN,42.96875,NaN,NaN
1.58336E+12,-317.8710938,NaN,20.01953125,NaN,NaN
1.58336E+12,1.46484375,NaN,29.296875,NaN,NaN
1.58336E+12,357.421875,NaN,51.7578125,NaN,NaN
1.58336E+12,118.6523438,NaN,58.59375,NaN,NaN
1.58336E+12,NaN,NaN,41.9921875,NaN,NaN
1.58336E+12,NaN,NaN,18.06640625,NaN,NaN
1.58336E+12,NaN,NaN,35.15625,NaN,NaN
1.58336E+12,NaN,NaN,57.6171875,NaN,NaN
1.58336E+12,NaN,NaN,57.12890625,NaN,NaN
1.58336E+12,NaN,NaN,47.8515625,NaN,NaN
1.58336E+12,NaN,NaN,50.78125,NaN,NaN
1.58336E+12,NaN,NaN,58.10546875,NaN,NaN
1.58336E+12,NaN,NaN,46.875,NaN,NaN
1.58336E+12,NaN,NaN,35.64453125,NaN,NaN
1.58336E+12,NaN,NaN,50.29296875,NaN,NaN
1.58336E+12,NaN,NaN,62.98828125,NaN,NaN
1.58336E+12,NaN,NaN,NaN,326.6601563,NaN
1.58336E+12,NaN,NaN,NaN,-99.12109375,NaN
1.58336E+12,NaN,NaN,NaN,-345.703125,NaN
1.58336E+12,NaN,NaN,NaN,36.1328125,NaN
1.58336E+12,NaN,NaN,NaN,365.234375,NaN
1.58336E+12,NaN,NaN,NaN,62.5,NaN
1.58336E+12,NaN,NaN,NaN,-325.1953125,NaN
1.58336E+12,NaN,NaN,NaN,-93.26171875,NaN
1.58336E+12,NaN,NaN,NaN,336.4257813,NaN
1.58336E+12,NaN,NaN,NaN,185.546875,NaN
1.58336E+12,NaN,NaN,NaN,-279.296875,NaN
1.58336E+12,NaN,NaN,NaN,-213.8671875,NaN
1.58336E+12,NaN,20.5078125,NaN,NaN,NaN
1.58336E+12,NaN,17.578125,NaN,NaN,NaN
1.58336E+12,NaN,25.87890625,NaN,NaN,NaN
1.58336E+12,NaN,26.85546875,NaN,NaN,NaN
1.58336E+12,NaN,11.23046875,NaN,NaN,NaN
1.58336E+12,NaN,10.25390625,NaN,NaN,NaN
1.58336E+12,NaN,36.62109375,NaN,NaN,NaN
