time,TP9,AF7,AF8,TP10,AUX
1.58336E+12,NaN,NaN,NaN,387.2070313,NaN
1.58336E+12,NaN,NaN,NaN,482.9101563,NaN
1.58336E+12,NaN,NaN,NaN,-240.7226563,NaN
1.58336E+12,NaN,NaN,NaN,-475.0976563,NaN
1.58336E+12,NaN,NaN,NaN,196.7773438,NaN
1.58336E+12,NaN,NaN,NaN,566.8945313,NaN
1.58336E+12,NaN,NaN,NaN,-36.62109375,NaN
1.58336E+12,NaN,NaN,NaN,-535.15625,NaN
1.58336E+12,NaN,NaN,NaN,-21.97265625,NaN
1.58336E+12,NaN,NaN,NaN,572.265625,NaN
1.58336E+12,NaN,NaN,NaN,189.9414063,NaN
1.58336E+12,NaN,NaN,NaN,-484.8632813,NaN
1.58336E+12,NaN,NaN,NaN,-516.1132813,NaN
1.58336E+12,NaN,NaN,NaN,-65.4296875,NaN
1.58336E+12,NaN,NaN,NaN,550.2929688,NaN
1.58336E+12,NaN,NaN,NaN,231.9335938,NaN
1.58336E+12,NaN,NaN,NaN,-452.6367188,NaN
1.58336E+12,NaN,NaN,NaN,-276.8554688,NaN
1.58336E+12,NaN,NaN,NaN,444.3359375,NaN
1.58336E+12,NaN,NaN,NaN,414.0625,NaN
1.58336E+12,NaN,NaN,NaN,-319.3359375,NaN
1.58336E+12,NaN,NaN,NaN,-416.5039063,NaN
1.58336E+12,NaN,NaN,NaN,302.734375,NaN
1.58336E+12,NaN,NaN,NaN,546.3867188,NaN
1.58336E+12,-207.5195313,NaN,NaN,NaN,NaN
1.58336E+12,-688.4765625,NaN,NaN,NaN,NaN
1.58336E+12,207.03125,NaN,NaN,NaN,NaN
1.58336E+12,865.234375,NaN,NaN,NaN,NaN
1.58336E+12,92.7734375,NaN,NaN,NaN,NaN
1.58336E+12,-712.4023438,NaN,NaN,NaN,NaN
1.58336E+12,-98.14453125,NaN,NaN,NaN,NaN
1.58336E+12,812.9882813,NaN,NaN,NaN,NaN
1.58336E+12,405.2734375,NaN,NaN,NaN,NaN
1.58336E+12,-606.4453125,NaN,NaN,NaN,NaN
1.58336E+12,-393.5546875,NaN,NaN,NaN,NaN
1.58336E+12,660.6445313,NaN,NaN,NaN,NaN
1.58336E+12,NaN,NaN,8.30078125,NaN,NaN
1.58336E+12,NaN,NaN,12.20703125,NaN,NaN
1.58336E+12,NaN,NaN,15.625,NaN,NaN
1.58336E+12,NaN,NaN,11.71875,NaN,NaN
1.58336E+12,NaN,NaN,-3.90625,NaN,NaN
1.58336E+12,NaN,NaN,-8.7890625,NaN,NaN
1.58336E+12,NaN,NaN,-2.9296875,NaN,NaN
1.58336E+12,NaN,NaN,0.48828125,NaN,NaN
1.58336E+12,NaN,NaN,-6.34765625,NaN,NaN
1.58336E+12,NaN,NaN,-6.8359375,NaN,NaN
1.58336E+12,NaN,NaN,2.44140625,NaN,NaN
1.58336E+12,NaN,NaN,1.953125,NaN,NaN
1.58336E+12,NaN,NaN,NaN,-477.0507813,NaN
1.58336E+12,NaN,NaN,NaN,143.5546875,NaN
1.58336E+12,NaN,NaN,NaN,581.5429688,NaN
1.58336E+12,NaN,NaN,NaN,36.1328125,NaN
