time,TP9,AF7,AF8,TP10,AUX
1.58336E+12,NaN,NaN,20.01953125,NaN,NaN
1.58336E+12,NaN,NaN,16.11328125,NaN,NaN
1.58336E+12,NaN,NaN,14.16015625,NaN,NaN
1.58336E+12,NaN,NaN,10.25390625,NaN,NaN
1.58336E+12,NaN,NaN,NaN,38.57421875,NaN
1.58336E+12,NaN,NaN,NaN,38.57421875,NaN
1.58336E+12,NaN,NaN,NaN,29.78515625,NaN
1.58336E+12,NaN,NaN,NaN,24.4140625,NaN
1.58336E+12,NaN,NaN,NaN,31.73828125,NaN
1.58336E+12,NaN,NaN,NaN,33.69140625,NaN
1.58336E+12,NaN,NaN,NaN,28.3203125,NaN
1.58336E+12,NaN,NaN,NaN,24.4140625,NaN
1.58336E+12,NaN,NaN,NaN,24.4140625,NaN
1.58336E+12,NaN,NaN,NaN,29.78515625,NaN
1.58336E+12,NaN,NaN,NaN,31.73828125,NaN
1.58336E+12,NaN,NaN,NaN,26.85546875,NaN
1.58336E+12,NaN,NaN,18.5546875,23.4375,NaN
1.58336E+12,NaN,NaN,24.90234375,22.4609375,NaN
1.58336E+12,NaN,NaN,22.94921875,24.90234375,NaN
1.58336E+12,NaN,NaN,16.6015625,22.4609375,NaN
1.58336E+12,NaN,NaN,15.13671875,20.01953125,NaN
1.58336E+12,NaN,NaN,14.6484375,21.484375,NaN
1.58336E+12,NaN,NaN,17.08984375,17.578125,NaN
1.58336E+12,NaN,NaN,21.97265625,20.99609375,NaN
1.58336E+12,NaN,NaN,18.06640625,31.73828125,NaN
1.58336E+12,NaN,NaN,7.8125,32.2265625,NaN
1.58336E+12,NaN,NaN,9.27734375,35.15625,NaN
1.58336E+12,NaN,NaN,19.53125,37.59765625,NaN
1.58336E+12,NaN,NaN,NaN,27.83203125,NaN
1.58336E+12,NaN,NaN,NaN,27.83203125,NaN
1.58336E+12,NaN,NaN,NaN,40.52734375,NaN
1.58336E+12,NaN,NaN,NaN,35.15625,NaN
1.58336E+12,NaN,NaN,NaN,20.01953125,NaN
1.58336E+12,NaN,NaN,NaN,40.52734375,NaN
1.58336E+12,NaN,NaN,NaN,49.31640625,NaN
1.58336E+12,NaN,NaN,NaN,20.01953125,NaN
1.58336E+12,NaN,NaN,NaN,4.39453125,NaN
1.58336E+12,NaN,NaN,NaN,-7.32421875,NaN
1.58336E+12,NaN,NaN,NaN,-22.4609375,NaN
1.58336E+12,NaN,NaN,NaN,-35.15625,NaN
1.58336E+12,NaN,NaN,6.34765625,NaN,NaN
1.58336E+12,NaN,NaN,5.859375,NaN,NaN
1.58336E+12,NaN,NaN,9.765625,NaN,NaN
1.58336E+12,NaN,NaN,5.37109375,NaN,NaN
1.58336E+12,NaN,NaN,-1.953125,NaN,NaN
